user_id,first_approved_day,s2_approved_contracts,s2_total_usdt,s1_usdt_requests,is_completely_new,수집시각(KST)
3cb21501-5b63-4ce1-96e9-2a08c78dc950,2026-06-28,105,63560,0,1,2026-07-08 05:04:24
6ccf905c-40e8-4b5a-acb6-9c7b56b633dc,2026-06-28,9,21500,0,1,2026-07-08 05:04:24
91088324-cc00-471d-837a-46d70ef70efc,2026-06-28,5,3640,0,1,2026-07-08 05:04:24
907a2202-c897-414c-8ae0-1bf2a530c1cf,2026-06-29,3,4040,0,1,2026-07-08 05:04:24
196d7eae-7a3f-4182-ae42-a1659d0abb03,2026-07-01,6,3980,0,1,2026-07-08 05:04:24
1dfe9c63-f75b-47bd-b36b-6d197635975e,2026-07-01,1,2000,0,1,2026-07-08 05:04:24
0e96905d-bf22-4c9d-b66d-9c635caad333,2026-07-02,6,56400,0,1,2026-07-08 05:04:24
b975c7ae-498c-499a-be39-668e9a695480,2026-07-07,1,2000,0,1,2026-07-08 05:04:24
05b264c4-03ff-4949-b622-1695fb672053,2026-06-28,3,8520,50,0,2026-07-08 05:04:24
14e55754-5478-46e2-a464-bb80ee76a737,2026-06-28,5,6680,40,0,2026-07-08 05:04:24
251b64ec-25fa-4489-8478-6fd796f84071,2026-06-28,3,2240,69,0,2026-07-08 05:04:24
2584abd0-05cb-457f-abec-f52739814659,2026-06-28,5,4260,172,0,2026-07-08 05:04:24
26881fbc-8ae0-4124-b28b-713277c7a4bb,2026-06-28,8,7260,87,0,2026-07-08 05:04:24
2d54731c-780c-468f-b979-817e7be81116,2026-06-28,6,5280,338,0,2026-07-08 05:04:24
3131caa0-bcd9-419c-8d4e-5fd1621a9fd5,2026-06-28,4,3200,4,0,2026-07-08 05:04:24
33434bf0-7123-43db-896b-6f6450173a5f,2026-06-28,2,2040,178,0,2026-07-08 05:04:24
37f070b3-994d-4c9c-bc99-8cd7511eb6e6,2026-06-28,5,2840,211,0,2026-07-08 05:04:24
389b3f7e-6dc4-49c4-a26e-17cf8eb3bb1e,2026-06-28,3,2240,256,0,2026-07-08 05:04:24
3af41aa7-c1ef-4ca9-b64e-6dcaf4ad8ada,2026-06-28,2,2040,156,0,2026-07-08 05:04:24
3e12379f-0b4b-48dd-bf67-72907cbd18c0,2026-06-28,10,8900,255,0,2026-07-08 05:04:24
40f1bc37-d002-4dc4-aa67-1b56890dadd2,2026-06-28,4,6160,153,0,2026-07-08 05:04:24
4ba892d1-27bd-4532-a22c-d485bec9d084,2026-06-28,7,12560,22,0,2026-07-08 05:04:24
4c1bd531-54ae-4b9c-b3f3-087fb192076e,2026-06-28,3,2240,50,0,2026-07-08 05:04:24
4c5573b9-063f-4f90-9cb1-338768f5fd99,2026-06-28,3,2440,183,0,2026-07-08 05:04:24
4edb5742-8fb5-440f-be1a-ccc84ff17541,2026-06-28,2,2040,113,0,2026-07-08 05:04:24
4ef9dbd1-9061-4e44-9799-ddc4ccef24f6,2026-06-28,2,2040,56,0,2026-07-08 05:04:24
4f77fd0f-7fbf-4633-8bb6-d5b8c38d0888,2026-06-28,4,3140,207,0,2026-07-08 05:04:24
53b104d4-c636-4014-a401-6568a7a99c25,2026-06-28,10,7900,138,0,2026-07-08 05:04:24
543de585-35a2-447b-afa1-80652267cc6c,2026-06-28,3,2240,435,0,2026-07-08 05:04:24
559d8c65-aa2b-4f1b-905c-aaa1f115cb58,2026-06-28,4,3200,49,0,2026-07-08 05:04:24
55bf3a91-8935-4a2f-8a29-2e8023fa4f41,2026-06-28,2,2040,238,0,2026-07-08 05:04:24
55ea2e7f-fc88-454b-a64c-b3540c0884d4,2026-06-28,7,9560,491,0,2026-07-08 05:04:24
563812ea-0ee5-42b6-97f7-3e2b12acbf73,2026-06-28,2,2040,29,0,2026-07-08 05:04:24
57a8d208-b850-457c-b89f-8529e7fde229,2026-06-28,3,3060,78,0,2026-07-08 05:04:24
640250f0-8a98-4242-987f-4863987ead8e,2026-06-28,5,5960,241,0,2026-07-08 05:04:24
672167aa-a069-4871-827e-91db7a698ed1,2026-06-28,2,2040,8,0,2026-07-08 05:04:24
67416aa2-0889-4a25-9cd2-a1982003524e,2026-06-28,3,2240,60,0,2026-07-08 05:04:24
67be334e-5071-497f-a974-ad7e69383d49,2026-06-28,5,4260,34,0,2026-07-08 05:04:24
6b780529-5f3b-49e5-b42d-b6ee31ddd0a1,2026-06-28,3,2240,122,0,2026-07-08 05:04:24
6bb05568-bb01-4ec8-b523-b97dd32e6571,2026-06-28,5,3240,92,0,2026-07-08 05:04:24
6c10b4f1-0314-4aed-b007-1a3f38c0458d,2026-06-28,7,7280,306,0,2026-07-08 05:04:24
6c6d0fc7-2942-49ec-aa45-e8b8c5c8edc2,2026-06-28,3,2840,462,0,2026-07-08 05:04:24
6e24198d-69b6-4b58-9401-429aa3c36314,2026-06-28,2,2240,28,0,2026-07-08 05:04:24
6e255de0-84d5-4034-b3d4-cfea1ea59b3a,2026-06-28,4,3260,130,0,2026-07-08 05:04:24
6e8b3c58-ac4a-4e39-9232-4576d3fe317d,2026-06-28,4,12300,332,0,2026-07-08 05:04:24
7341febc-668e-40b9-9f3f-ab3997042679,2026-06-28,13,18640,273,0,2026-07-08 05:04:24
74a5949c-5cba-4467-9c2c-81c64f99047e,2026-06-28,3,2240,147,0,2026-07-08 05:04:24
75fcfede-dc07-4318-8b80-78b9ff156ac5,2026-06-28,12,13100,431,0,2026-07-08 05:04:24
77deda4f-810f-4f1a-8df0-f461ac6e91ca,2026-06-28,7,7900,240,0,2026-07-08 05:04:24
7803eb23-fb26-47ce-a66c-6c1aa0ea5517,2026-06-28,5,11660,59,0,2026-07-08 05:04:24
78a3ceb0-4f82-4ffc-ad25-45fd9d6ce4f1,2026-06-28,2,2040,30,0,2026-07-08 05:04:24
7f11518f-ec05-4864-8523-984254ba340a,2026-06-28,13,10500,193,0,2026-07-08 05:04:24
830bb4b1-d8ce-4ce5-8d3a-70775256755d,2026-06-28,9,6780,68,0,2026-07-08 05:04:24
86a0506f-f0ae-46cf-b1ac-f9052aa1c516,2026-06-28,2,2040,191,0,2026-07-08 05:04:24
8744a805-ad0c-474a-bc5a-3c9fd097d622,2026-06-28,3,3060,47,0,2026-07-08 05:04:24
897a1293-5f49-490f-9a34-6835b0964426,2026-06-28,4,3240,183,0,2026-07-08 05:04:24
8acf44a9-cbed-4d3b-8d70-74472bf71ed2,2026-06-28,2,2040,168,0,2026-07-08 05:04:24
8d99a972-d185-4267-9844-d42b615a2a11,2026-06-28,10,14100,193,0,2026-07-08 05:04:24
91e1152f-ac1b-4a9d-8b23-c2bc400179a9,2026-06-28,12,12920,249,0,2026-07-08 05:04:24
932f5590-887f-4895-8e35-d1d70ff30496,2026-06-28,8,6480,355,0,2026-07-08 05:04:24
